ID,Card ID,User contact,Timestamp,Comment
A982,ZYW8890,"""0534534534""",13-11-2023 14:00,User not available
A073,ZYW7631,"""0545576586""",13-11-2023 16:00,User declined to accept package
A084,ZYW8827,"""0585949014""",14-11-2023 13:30,User not available
A065,ZYW8890,"""0534534534""",14-11-2023 16:45,User not available
A046,ZYW7631,"""0545576586""",15-11-2023 11:20,User declined to accept package
A057,ZYW8827,"""0585949014""",15-11-2023 14:55,User not available
A038,ZYW8890,"""0534534534""",16-11-2023 10:30,User not available
A029,ZYW7631,"""0545576586""",16-11-2023 13:45,User declined to accept package
A010,ZYW8827,"""0585949014""",17-11-2023 13:30,User not available
A011,ZYW8890,"""0534534534""",17-11-2023 16:45,User not available
A012,ZYW7631,"""0545576586""",18-11-2023 11:20,User declined to accept package
A013,ZYW8827,"""0585949014""",18-11-2023 14:55,User not available
A014,ZYW8890,"""0534534534""",19-11-2023 10:30,User not available
A015,ZYW7631,"""0545576586""",19-11-2023 13:45,User declined to accept package
A016,ZYW8827,"""0585949014""",20-11-2023 13:30,User not available
A017,ZYW8890,"""0534534534""",20-11-2023 16:45,User not available
A018,ZYW7631,"""0545576586""",21-11-2023 11:20,User declined to accept package
A019,ZYW8827,"""0585949014""",21-11-2023 14:55,User not available
A020,ZYW8890,"""0534534534""",22-11-2023 10:30,User not available
A021,ZYW7631,"""0545576586""",22-11-2023 13:45,User declined to accept package
